    1   0.000000 10.128.27.116 → 212.129.62.232 TCP 76 47942 → 443 [SYN] Seq=0 Win=64320 Len=0 MSS=1340 SACK_PERM=1 TSval=3832602374 TSecr=0 WS=128
  190   5.026701 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=377, datalen=1380
  191   5.026703 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=378, datalen=1380
  192   5.026850 185.195.233.76 → 10.0.2.15    WireGuard 396 Transport Data, receiver=0x89F5A600, counter=379, datalen=320
  193   5.026931 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=380, datalen=1380
  194   5.026938 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=381, datalen=1380
  195   5.024806  128.2.42.52 → 10.128.27.116 TLSv1.2 4305 Application Data [TCP segment of a reassembled PDU]
  196   5.024806  128.2.42.52 → 10.128.27.116 TCP 2724 443 → 34296 [PSH, ACK] Seq=67675 Ack=748 Win=14147 Len=2656 TSval=4248229279 TSecr=2185887048 [TCP segment of a reassembled PDU]
  197   5.024806  128.2.42.52 → 10.128.27.116 TLSv1.2 5380 Application Data [TCP segment of a reassembled PDU]
  198   5.026940 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=382, datalen=1380
  199   5.026942 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=383, datalen=1380
  200   5.026943 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=384, datalen=1380
  201   5.026944 185.195.233.76 → 10.0.2.15    WireGuard 396 Transport Data, receiver=0x89F5A600, counter=385, datalen=320
  202   5.024806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=67675 Win=78080 Len=0 TSval=2185887300 TSecr=4248229279
  203   5.024806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=70331 Win=83328 Len=0 TSval=2185887300 TSecr=4248229279
  204   5.024806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=75643 Win=93952 Len=0 TSval=2185887300 TSecr=4248229280
  205   5.024806  128.2.42.52 → 10.128.27.116 TCP 321 443 → 34296 [PSH, ACK] Seq=75643 Ack=748 Win=14147 Len=253 TSval=4248229280 TSecr=2185887048 [TCP segment of a reassembled PDU]
  206   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=75896 Ack=748 Win=14147 Len=1328 TSval=4248229281 TSecr=2185887048 [TCP segment of a reassembled PDU]
  207   5.024806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=77224 Win=99328 Len=0 TSval=2185887300 TSecr=4248229280
  208   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=77224 Ack=748 Win=14147 Len=1328 TSval=4248229281 TSecr=2185887048 [TCP segment of a reassembled PDU]
  209   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=78552 Ack=748 Win=14147 Len=1328 TSval=4248229281 TSecr=2185887048 [TCP segment of a reassembled PDU]
  210   5.024806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=79880 Win=104576 Len=0 TSval=2185887300 TSecr=4248229281
  211   5.024806  128.2.42.52 → 10.128.27.116 TLSv1.2 1396 Application Data [TCP segment of a reassembled PDU]
  212   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=81208 Ack=748 Win=14147 Len=1328 TSval=4248229281 TSecr=2185887048 [TCP segment of a reassembled PDU]
  213   5.024806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=82536 Win=109952 Len=0 TSval=2185887300 TSecr=4248229281
  214   5.024806  128.2.42.52 → 10.128.27.116 TCP 321 443 → 34296 [PSH, ACK] Seq=82536 Ack=748 Win=14147 Len=253 TSval=4248229281 TSecr=2185887048 [TCP segment of a reassembled PDU]
  215   5.024806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=157, datalen=64
  216   5.024806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=158, datalen=64
  217   5.024806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=159, datalen=64
  218   5.027343 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=386, datalen=1380
  219   5.024806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=160, datalen=64
  220   5.027397 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=387, datalen=1380
  221   5.027405 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=388, datalen=1380
  222   5.027408 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=389, datalen=1380
  223   5.027460 185.195.233.76 → 10.0.2.15    WireGuard 396 Transport Data, receiver=0x89F5A600, counter=390, datalen=320
  224   5.027468 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=391, datalen=1380
  225   5.024806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=161, datalen=64
  226   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [PSH, ACK] Seq=82789 Ack=748 Win=14147 Len=1328 TSval=4248229284 TSecr=2185887052 [TCP segment of a reassembled PDU]
  227   5.024806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=84117 Win=115200 Len=0 TSval=2185887300 TSecr=4248229281
  228   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=84117 Ack=748 Win=14147 Len=1328 TSval=4248229284 TSecr=2185887052 [TCP segment of a reassembled PDU]
  229   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=85445 Ack=748 Win=14147 Len=1328 TSval=4248229284 TSecr=2185887052 [TCP segment of a reassembled PDU]
  230   5.024806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=86773 Win=120576 Len=0 TSval=2185887300 TSecr=4248229284
  231   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=86773 Ack=748 Win=14147 Len=1328 TSval=4248229284 TSecr=2185887052 [TCP segment of a reassembled PDU]
  232   5.024806  128.2.42.52 → 10.128.27.116 TLSv1.2 334 Application Data [TCP segment of a reassembled PDU]
  233   5.024806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=88367 Win=125824 Len=0 TSval=2185887300 TSecr=4248229284
  234   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=88367 Ack=748 Win=14147 Len=1328 TSval=4248229284 TSecr=2185887052 [TCP segment of a reassembled PDU]
  235   5.024806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=162, datalen=64
  236   5.024806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=163, datalen=64
  237   5.024806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=164, datalen=64
  238   5.024806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=165, datalen=64
  239   5.024806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=166, datalen=64
  240   5.029275 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=392, datalen=1380
  241   5.029294 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=393, datalen=1380
  242   5.029382 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=394, datalen=1380
  243   5.029394 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=395, datalen=1380
  244   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=89695 Ack=748 Win=14147 Len=1328 TSval=4248229284 TSecr=2185887052 [TCP segment of a reassembled PDU]
  245   5.029482 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=396, datalen=1380
  246   5.024806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=91023 Win=131200 Len=0 TSval=2185887300 TSecr=4248229284
  247   5.029495 185.195.233.76 → 10.0.2.15    WireGuard 396 Transport Data, receiver=0x89F5A600, counter=397, datalen=320
  248   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=91023 Ack=748 Win=14147 Len=1328 TSval=4248229284 TSecr=2185887052 [TCP segment of a reassembled PDU]
  249   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=92351 Ack=748 Win=14147 Len=1328 TSval=4248229284 TSecr=2185887052 [TCP segment of a reassembled PDU]
  250   5.024806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=93679 Win=136448 Len=0 TSval=2185887300 TSecr=4248229284
  251   5.029583 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=398, datalen=1380
  252   5.029598 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=399, datalen=1380
  253   5.024806  128.2.42.52 → 10.128.27.116 TLSv1.2 2977 Application Data [TCP segment of a reassembled PDU]
  254   5.029678 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=400, datalen=1380
  255   5.024806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=96588 Win=142336 Len=0 TSval=2185887300 TSecr=4248229284
  256   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=96588 Ack=748 Win=14147 Len=1328 TSval=4248229285 TSecr=2185887052 [TCP segment of a reassembled PDU]
  257   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=97916 Ack=748 Win=14147 Len=1328 TSval=4248229285 TSecr=2185887052 [TCP segment of a reassembled PDU]
  258   5.024806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=99244 Win=147584 Len=0 TSval=2185887300 TSecr=4248229285
  259   5.029691 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=401, datalen=1380
  260   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=99244 Ack=748 Win=14147 Len=1328 TSval=4248229285 TSecr=2185887052 [TCP segment of a reassembled PDU]
  261   5.029696 185.195.233.76 → 10.0.2.15    WireGuard 1452 Transport Data, receiver=0x89F5A600, counter=402, datalen=1376
  262   5.024806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=167, datalen=64
  263   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=100572 Ack=748 Win=14147 Len=1328 TSval=4248229285 TSecr=2185887052 [TCP segment of a reassembled PDU]
  264   5.024806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=101900 Win=152960 Len=0 TSval=2185887300 TSecr=4248229285
  265   5.024806  128.2.42.52 → 10.128.27.116 TCP 1383 443 → 34296 [PSH, ACK] Seq=101900 Ack=748 Win=14147 Len=1315 TSval=4248229285 TSecr=2185887052 [TCP segment of a reassembled PDU]
  266   5.024806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=168, datalen=64
  267   5.024806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=169, datalen=64
  268   5.024806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=170, datalen=64
  269   5.024806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=171, datalen=64
  270   5.032325 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=403, datalen=1380
  271   5.032380 185.195.233.76 → 10.0.2.15    WireGuard 396 Transport Data, receiver=0x89F5A600, counter=404, datalen=320
  272   5.032389 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=405, datalen=1380
  273   5.032440 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=406, datalen=1380
  274   5.032495 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=407, datalen=1380
  275   5.032501 185.195.233.76 → 10.0.2.15    WireGuard 684 Transport Data, receiver=0x89F5A600, counter=408, datalen=608
  276   5.028806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=103215 Ack=748 Win=14147 Len=1328 TSval=4248229289 TSecr=2185887060 [TCP segment of a reassembled PDU]
  277   5.028806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=104543 Win=158208 Len=0 TSval=2185887304 TSecr=4248229285
  278   5.028806  128.2.42.52 → 10.128.27.116 TLSv1.2 334 Application Data [TCP segment of a reassembled PDU]
  279   5.028806  128.2.42.52 → 10.128.27.116 TLSv1.2 4603 Application Data
  280   5.028806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=109344 Win=169984 Len=0 TSval=2185887304 TSecr=4248229289
  281   5.028806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=172, datalen=64
  282   5.028806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=173, datalen=64
  283   5.032806 10.128.27.116 → 128.2.42.52  TLSv1.2 99 Encrypted Alert
  284   5.032806    10.0.2.15 → 185.195.233.76 WireGuard 172 Transport Data, receiver=0x7A5D3F48, counter=174, datalen=96
  285   5.032806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [FIN, ACK] Seq=779 Ack=109344 Win=169984 Len=0 TSval=2185887308 TSecr=4248229289
  286   5.032806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=175, datalen=64
  287   5.280786 185.195.233.76 → 10.0.2.15    WireGuard 140 Transport Data, receiver=0x89F5A600, counter=409, datalen=64
  288   5.280890 185.195.233.76 → 10.0.2.15    WireGuard 140 Transport Data, receiver=0x89F5A600, counter=410, datalen=64
  289   5.276812  128.2.42.52 → 10.128.27.116 TCP 68 443 → 34296 [ACK] Seq=109344 Ack=779 Win=14178 Len=0 TSval=4248229537 TSecr=2185887308
  290   5.276812  128.2.42.52 → 10.128.27.116 TCP 68 443 → 34296 [FIN, ACK] Seq=109344 Ack=779 Win=14178 Len=0 TSval=4248229537 TSecr=2185887308
  291   5.276812 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=780 Ack=109345 Win=169984 Len=0 TSval=2185887552 TSecr=4248229537
  292   5.276812    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=176, datalen=64
  293   5.281819 185.195.233.76 → 10.0.2.15    WireGuard 140 Transport Data, receiver=0x89F5A600, counter=411, datalen=64
  294   5.276812  128.2.42.52 → 10.128.27.116 TCP 68 443 → 34296 [ACK] Seq=109345 Ack=780 Win=14178 Len=0 TSval=4248229538 TSecr=2185887308
  295   8.134233 10.128.27.116 → 212.129.62.232 TCP 76 [TCP Retransmission] 47942 → 443 [SYN] Seq=0 Win=64320 Len=0 MSS=1340 SACK_PERM=1 TSval=3832610508 TSecr=0 WS=128
  296   8.132879    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=177, datalen=64
  297   8.664892 PcsCompu_ed:ac:df →              ARP 44 Who has 10.0.2.2? Tell 10.0.2.15
  298   8.668568 52:55:0a:00:02:02 →              ARP 66 10.0.2.2 is at 52:55:0a:00:02:02
